dito1,dito2,dito3,dito4,target
5855,5445,5509,3946,0
5855,5445,5509,3946,0
5877,5452,5515,3948,0
5877,5452,5515,3948,0
5958,5454,5519,3952,0
5958,5454,5519,3952,0
6022,5445,5510,3955,0
6022,5445,5510,3955,0
6030,5455,5516,3958,0
6030,5455,5516,3958,0
6031,5465,5527,3960,0
6031,5465,5527,3960,0
6038,5467,5531,3961,0
6038,5467,5531,3961,0
6037,5468,5530,3961,0
6037,5468,5530,3961,0
6037,5468,5528,3963,0
6037,5468,5528,3963,0
6039,5467,5530,3963,0
6039,5467,5530,3963,0
6040,5467,5531,3963,0
6040,5467,5531,3963,0
6040,5466,5530,3964,0
6040,5466,5530,3964,0
6040,5472,5535,3965,0
6040,5472,5535,3965,0
6042,5467,5530,3966,0
6042,5467,5530,3966,0
6042,5456,5523,3967,0
6042,5456,5523,3967,0
6043,5448,5509,3967,0
6043,5448,5509,3967,0
6044,5459,5520,3968,0
6044,5459,5520,3968,0
6045,5486,5545,3970,0
6045,5486,5545,3970,0
6046,5487,5549,3970,0
6046,5487,5549,3970,0
6047,5487,5547,3970,0
6047,5487,5547,3970,0
6048,5487,5552,3970,0
6048,5487,5552,3970,0
6047,5490,5553,3970,0
6047,5490,5553,3970,0
6048,5489,5549,3970,0
6048,5489,5549,3970,0
6049,5487,5547,3970,0
6049,5487,5547,3970,0
6046,5489,5549,3971,0
6046,5489,5549,3971,0
6042,5480,5542,3971,0
6042,5480,5542,3971,0
6043,5472,5533,3972,0
6043,5472,5533,3972,0
6043,5473,5537,3973,0
6043,5473,5537,3973,0
6046,5477,5539,3973,0
6046,5477,5539,3973,0
6050,5456,5520,3971,0
6050,5456,5520,3971,0
6051,5468,5530,3969,0
6051,5468,5530,3969,0
6053,5468,5531,3969,0
6053,5468,5531,3969,0
6050,5470,5531,3972,0
6050,5470,5531,3972,0
6049,5468,5529,3973,0
6049,5468,5529,3973,0
6046,5465,5530,3977,0
6046,5465,5530,3977,0
6045,5452,5516,3978,0
6045,5452,5516,3978,0
6049,5481,5542,3976,0
6049,5481,5542,3976,0
6046,5475,5536,3979,0
6046,5475,5536,3979,0
6043,5464,5529,3985,0
6043,5464,5529,3985,0
6041,5467,5528,3990,0
6041,5467,5528,3990,0
6042,5472,5535,3990,0
6042,5472,5535,3990,0
6044,5472,5537,3990,0
6044,5472,5537,3990,0
6049,5461,5529,3987,0
6049,5461,5529,3987,0
6049,5497,5554,3989,0
6049,5497,5554,3989,0
6051,5497,5557,3988,0
6051,5497,5557,3988,0
6052,5494,5552,3991,0
6052,5494,5552,3991,0
6051,5498,5557,3992,0
6051,5498,5557,3992,0
6052,5492,5550,3987,0
6052,5492,5550,3987,0
6051,5495,5554,3987,0
6051,5495,5554,3987,0
6048,5491,5552,3991,0
6048,5491,5552,3991,0
6047,5490,5553,3991,0
6047,5490,5553,3991,0
6047,5493,5554,3990,0
6047,5493,5554,3990,0
6046,5490,5550,3993,0
6046,5490,5550,3993,0
6048,5489,5548,3995,0
6048,5489,5548,3995,0
6047,5472,5538,3999,0
6047,5472,5538,3999,0
6051,5466,5528,4000,0
6051,5466,5528,4000,0
6051,5458,5522,4003,0
6051,5458,5522,4003,0
6052,5494,5552,4004,0
6052,5494,5552,4004,0
6054,5494,5557,4001,0
6054,5494,5557,4001,0
6042,5494,5557,4000,0
6042,5494,5557,4000,0
6043,5507,5567,3994,0
6043,5507,5567,3994,0
6029,5503,5563,3987,0
6029,5503,5563,3987,0
5963,5478,5543,3946,0
5963,5478,5543,3946,0
5901,5443,5510,3862,0
5901,5443,5510,3862,0
5881,5378,5452,3764,0
5881,5378,5452,3764,0
5833,5079,5193,3648,0
5833,5079,5193,3648,0
5837,4960,5074,3624,0
5837,4960,5074,3624,0
5842,4898,5014,3533,0
5842,4898,5014,3533,0
5804,4756,4883,3431,0
5804,4756,4883,3431,0
5779,4771,4886,3456,0
5779,4771,4886,3456,0
5775,4796,4910,3474,0
5775,4796,4910,3474,0
5760,4857,4961,3543,0
5760,4857,4961,3543,0
5722,4895,5000,3589,0
5722,4895,5000,3589,0
5725,4932,5035,3630,0
5725,4932,5035,3630,0
5719,4969,5065,3656,0
5719,4969,5065,3656,0
5717,5016,5109,3682,0
5717,5016,5109,3682,0
5710,5127,5207,3739,0
5710,5127,5207,3739,0
5720,5151,5238,3761,0
5720,5151,5238,3761,0
5732,5148,5235,3762,0
5732,5148,5235,3762,0
5744,5151,5239,3769,0
5744,5151,5239,3769,0
5748,5173,5257,3774,0
5748,5173,5257,3774,0
5752,5176,5260,3776,0
5752,5176,5260,3776,0
5756,5180,5262,3776,0
5756,5180,5262,3776,0
5765,5171,5257,3742,0
5765,5171,5257,3742,0
5780,5163,5250,3715,0
5780,5163,5250,3715,0
5806,5114,5209,3693,0
5806,5114,5209,3693,0
5823,4933,5049,3617,0
5823,4933,5049,3617,0
5833,4909,5019,3625,0
5833,4909,5019,3625,0
5815,4904,5011,3631,0
5815,4904,5011,3631,0
5798,4910,5015,3655,0
5798,4910,5015,3655,0
5772,4928,5031,3675,0
5772,4928,5031,3675,0
5760,4939,5044,3688,0
5760,4939,5044,3688,0
5761,4941,5046,3694,0
5761,4941,5046,3694,0
5761,4953,5055,3701,0
5761,4953,5055,3701,0
5732,4951,5054,3710,0
5732,4951,5054,3710,0
5711,4965,5067,3717,0
5711,4965,5067,3717,0
5808,4965,5067,3726,0
5808,4965,5067,3726,0
6039,4987,5085,3740,0
6039,4987,5085,3740,0
6048,5016,5110,3750,0
6048,5016,5110,3750,0
6008,5053,5147,3746,0
6008,5053,5147,3746,0
5935,5065,5156,3738,0
5935,5065,5156,3738,0
5911,5072,5165,3722,0
5911,5072,5165,3722,0
5884,5088,5179,3729,0
5884,5088,5179,3729,0
5854,5096,5189,3733,0
5854,5096,5189,3733,0
5831,5108,5199,3749,0
5831,5108,5199,3749,0
5808,5111,5200,3758,0
5808,5111,5200,3758,0
5770,5116,5201,3763,0
5770,5116,5201,3763,0
5753,5113,5208,3759,0
5753,5113,5208,3759,0
5736,5113,5203,3759,0
5736,5113,5203,3759,0
5729,5107,5198,3759,0
5729,5107,5198,3759,0
5732,5106,5195,3761,0
5732,5106,5195,3761,0
5734,5107,5196,3763,0
5734,5107,5196,3763,0
5725,5111,5202,3769,0
5725,5111,5202,3769,0
5711,5114,5205,3774,0
5711,5114,5205,3774,0
5702,5120,5211,3773,0
5702,5120,5211,3773,0
5690,5119,5211,3773,0
5690,5119,5211,3773,0
5687,5122,5212,3776,0
5687,5122,5212,3776,0
5689,5122,5212,3779,0
5689,5122,5212,3779,0
5697,5128,5217,3783,0
5697,5128,5217,3783,0
5703,5125,5215,3790,0
